Year,Authors,Title,Publication,Volume,Number,Pages,Publisher,DOIs,Relevant? Cody review,Notes,Found pdf?,Has supplementary materials? (yes/no),Is supplementary material in folder?,Supplementary material file name,Who is looking for this paper? (Initials)
1996,"Custodio, Carlo C; Heaney, Lawrence R; Lepiten, Myrissa V; ",Bubalus mindorensis,,,,,Soc.,,,,Yes,No,NA,NA,ERC
1996,"Garcia-Perea, Rosa; ","Patterns of postnatal development in skulls of lynxes, genus Lynx (Mammalia: Carnivora)",Journal of morphology,229,3,241-254,"Philadelphia, Pa.: Wistar Institute of Anatomy and Biology,[1931-",10.1002/(SICI)1097-4687(199609)229:3<241::AID-JMOR1>3.0.CO;2-1,,,Yes,No,NA,NA,KNP
1996,"Goodman, Steven M; Carleton, Michael D; ","The rodents of the Réserve Naturelle Intégrale d'Andringitra, Madagascar","Fieldiana. Zoology[FIELDIANA, ZOOL.]. Sep 1996.",,,,,,,Citation Only,No,No,NA,NA,KNP
1996,"Mares, Michael A; Braun, Janet K; ","A new species of phyllotine rodent, genus Andalgalomys (Muridae: Sigmodontinae), from Argentina",Journal of Mammalogy,77,4,928-941,The Oxford University Press,10.2307/1382775,,,Yes,No,NA,NA,KNP
1996,"Musser, GG; ","Taxonomy and distributional records of Oriental and European Apodemus, with a review of the Apodemus-Sylvaemus problem",Bonner Zoologische Beitrage,46,,143-190,,,,,Yes,No,NA,NA,KNP
1996,"Musser, GG; Brothers, EM; Carleton, MD; Hutterer, R; ",the Apodemus-Sylvaemus problem,"Bonner zoologische Beiträge: Herausgeber: Zoologisches Forschungsinstitut und Museum Alexander Koenig, Bonn",46,,143,Forschungsinstitut und Museum Alexander Koenig,,,,Yes,No,NA,NA,KNP
1996,"Myers, Philip; Lundrigan, Barbara L; Gillespie, Brenda W; Zelditch, Miriam L; ",Phenotypic plasticity in skull and dental morphology in the prairie deer mouse (Peromyscus maniculatus bairdii),Journal of Morphology,229,2,229-237,"Wiley Subscription Services, Inc., A Wiley Company",10.1002/(SICI)1097-4687(199608)229:2<229::AID-JMOR7>3.0.CO;2-W,,,Yes,No,NA,NA,KNP
1996,"Navarrete-Gutiérrez, DA; Alba, LMP; March, MIJ; Espinoza, ME; ","Mamíferos de la Selva El Ocote, Chiapas","Conservación y desarrollo sustentable en la selva El Ocote, Chiapas",,,179-207,El Colegio de la Frontera Sur/Comisión Nacional para el Conocimiento y Uso …,,,Citation only,No,No,NA,NA,ERC
1996,"Oliver, WLR; Heaney, LR; ",Biodiversity and conservation in the Philippines,International Zoo News,,,329-336,,,,Citation only,No,No,NA,NA,ERC
1996,"Russell, John E; Tumlison, Renn; ",Comparison of microstructure of white winter fur and brown summer fur of some arctic mammals,Acta Zoologica,77,4,279-282,Blackwell Publishing Ltd,10.1111/j.1463-6395.1996.tb01272.x,,,Yes,No,NA,NA,KNP
1996,"TUCKER, PRISCILLA K; LUNDRIGAN, BARBARA L; ",The Utility of Paternally Inherited Nuclear,Molecular Genetic Approaches in Conservation,,,74,Oxford University Press on Demand,,,Google Book Available,No,No,NA,NA,KNP
1996,"Voss, Robert S; Emmons, Louise; ",Mammalian diversity in Neotropical lowland rainforests: a preliminary assessment. Bulletin of the AMNH; no. 230,,,,,[New York]: American Museum of Natural History,,,,Yes,No,NA,NA,KNP
1995,"Carleton, Michael D; Musser, Guy G; ","Systematic Studies of Oryzomyine Rodents (Muridae, Sigmodontinae)-Definition and Distribution of Oligoryzomys-Vegetus (Bangs, 1902)",Proceedings of the Biological Society of Washington,,,,,,,,Yes,No,NA,NA,KNP
1995,"Ferguson-Smith, MA; Tucker, PK; ",The Nature of Gene Evolution on the Mammalian Y Chromosome: Lessons from Sry: Discussion,Philosophical Transactions of the Royal Society of London Series B,350,1333,227,,,,Access can be bought,No,No,NA,NA,KNP
1995,"Gingerich, Philip D; Arif, Muhammad; Clyde, William C; ","New Archaeocetes (Mammalia, Cetacea) from the Middle Eocene Domanda Formation of Sulaiman Range, Punjab (Pakistan)",,,,,"Museum of Paleontology, The University of Michigan",,,,Yes,No,NA,NA,KNP
1995,"Heaney, Danilo S Balete Lawrence R; ",First records of Hipposideros lekaguli Thonglongya and Hill 1974 from the Philippines,Asia Life Sciences,4,1,89-94,,,,,Yes,No,NA,NA,KNP
1995,"Heaney, Lawrence; ",Vulnerability to Extinction of Small Isolated Populations,Storm over a mountain island: conservation biology and the Mt. Graham affair,,,177,Univ of Arizona Pr,,,CItation Only,No,No,NA,NA,KNP
1995,"Heaney, LR; ",Current problems and research priorities for the conservation of mammalian diversity in the Philippines,Technical Journal of Philippine Ecosystems and Natural Resources,,,,,,,CItation Only,No,No,NA,NA,KNP
1995,"Laerm123, Joshua; Brown, Eric; Lepardo13, Lisa; Menzel, Michael A; Ford, William M; ",Distributional occurrence and status of the least shrew (Cryptotis parva) in the southern Appalachians,,,,,,,,,Yes,No,NA,NA,KNP
1995,"Meagher, Shawn Anthony; ","Ecology, genetics, and evolution of deer mice (Peromyscus maniculatus gracilis) and a parasitic nematode (Capillaria hepatica)",,,,,University of Michigan,,,,Yes,No,NA,NA,KNP
1995,"Miller, KE; Lundrigan, BL; Tucker, PK; ",Length variation of CAG repeats in Sry across populations of Mus domesticus,Mammalian genome,6,3,206-208,Springer-Verlag,10.1007/BF00293015,,,Yes,No,NA,NA,KNP
1995,"Myers, Philip; Lundrigan, Barbara; Tucker, Priscilla K; ",Molecular phylogenetics of oryzomyine rodents: the genus Oligoryzomys,Molecular Phylogenetics and Evolution,4,4,372-382,Elsevier,10.1006/mpev.1995.1035,,,Yes,No,NA,NA,KNP
1995,"Tucker, Priscilla K; Lundrigan, Barbara L; ",The nature of gene evolution on the mammalian Y chromosome: lessons from Sry,Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,350,1333,221-227,The Royal Society London,10.1098/rstb.1995.0155,,,Yes,No,NA,NA,KNP
1994,"Brown, James H; Carleton, Michael D; Estes, James A; Fleming, Theodore H; Musser, Guy G; ",Emmet T. Hooper: 1911-1992,,,,,JSTOR,,,,Yes,No,NA,NA,KNP
1994,"BROWN, JH; CARLETON, MD; ESTES, JA; FLEMING, TH; MUSSER, GG; ","HOOPER, EMMET, T.-1911-1992-OBITUARY",JOURNAL OF MAMMALOGY,75,3,787-792,"AMER SOC MAMMALOGISTS BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",,,,,,,,
1994,"Carleton, Michael D; ",Systematic studies of Madagascar's endemic rodents (Muroidea: Nesomyinae): revision of the genus Eliurus. American Museum novitates; no. 3087,,,,,"New York, NY: American Museum of Natural History",,,,Yes,No,NA,NA,KNP
1994,"Carrillo-Jiménez, Eduardo; Morera-Avila, Rodrigo A; Wong-Reyes, Grace; ",Depredación de tortuga lora (Lepidochelys olivacea) y de tortuga verde (Chelonia mydas) por el jaguar (Panthera onca),Vida Silvestre Neotropical,3,1,48-49,,,,Citation only,No,No,NA,NA,KNP
1994,"Domning, Daryl P; Gingerich, Philip D; ","Protosiren smithae, new species (Mammalia, Sirenia), from the late middle Eocene of Wadi Hitan, Egypt",,,,,"Museum of Paleontology, The University of Michigan",,,,Yes,No,NA,NA,KNP
1994,"Lundrigan, Barbara L; Tucker, Priscilla K; ","Tracing paternal ancestry in mice, using the Y-linked, sex-determining locus, Sry.",Molecular biology and evolution,11,3,483-492,SMBE,10.1093/oxfordjournals.molbev.a040128,,,Yes,No,NA,NA,KNP
1994,"Raxworthy, Christopher J; Nussbaum, Ronald A; ","A review of the Madagascan snake genera Pseudoxyrhopus, Pararhadinaea, and Heteroliodon (Squamata: Colubridae)",,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,KNP
1993,"Heideman, Paul D; Cummings, Jennifer A; Heaney, Lawrence R; ","Reproductive timing and early embryonic development in an Old World fruit bat, Otopteropus cartilagonodus (Megachiroptera)",Journal of mammalogy,74,3,621-630,The Oxford University Press,10.2307/1382282,,,Yes,No,NA,NA,ERC
1993,"Hoffmann, RS; ",Family sciuridae,Mammal Species of the World: Taxonomic and Geographic Reference,,,419-466,Smithsonian Institution Press,,,Citation Only,No,No,NA,NA,KNP
1993,"Jenkins, Paulina D; ","A new species of Microgale (Insectivora, Tenrecidae) from eastern Madagascar with an unusual dentition. American Museum novitates; no. 3067",,,,,"New York, NY: American Museum of Natural History",,,,Yes,No,NA,NA,KNP
1993,"Luzon, Greater; Mindanao, Greater; Negros-Panay, Greater; ",Biodiversity patterns and the conservation of mammals in the Philippines,Asia Life Sciences,2,2,261-274,,,,,Yes,No,NA,NA,KNP
1993,"Navarro, LD; Rappole, JOHN H; Tewes, MICHAEL E; ",Distribution of the endangered ocelot (Felis pardalis) in Texas and northeastern Mexico,"Advances en el Estudio de los Mamiferos de Mexico, Publicaciones Especiales. Asociacion Mexicana de Mastozoologia, México",,,157-169,,,,Could be purchaced ,No,No,NA,NA,KNP
1993,"Oliver, WLR; Cox, CR; Gonzales, PC; Heaney, LR; ",Cloud rats in the Philippines—preliminary report on distribution and status,Oryx,27,1,41-48,Cambridge University Press,10.1017/S0030605300023942,,,Yes,No,NA,NA,KNP
1993,"Peterson, A Townsend; Heaney, Lawrence R; ",Genetic differentiation in Philippine bats of the genera Cynopterus and Haplonycteris,Biological Journal of the Linnean Society,49,3,203-218,Wiley Online Library,10.1111/j.1095-8312.1993.tb00900.x,,Could be purchased,No,No,NA,NA,KNP
1993,"Smith, Margaret F; Patton, James L; ",The diversification of South American murid rodents: evidence from mitochondrial DNA sequence data for the akodontine tribe,Biological Journal of the Linnean Society,50,3,149-177,Wiley Online Library,10.1111/j.1095-8312.1993.tb00924.x,,Don't have access,No,No,NA,NA,ERC
1993,"Swiderski, D. L.; ","Morphological evolution of the scapula in tree squirrels, chipmunks and ground squirrels (Sciuridae): an analysis using thin-plate splines",Evolution,47,,1854-1873,,10.1111/j.1558-5646.1993.tb01274.x,,,Yes,No,NA,NA,KNP
1993,"Thewissen, JGM; Babcock, SK; ",The implications of the propatagial muscles of flying and gliding mammals for archontan systematics,Primates and their relatives in phylogenetic perspective,,,91-109,Springer,10.1007/978-1-4899-2388-2,,,Yes,No,NA,NA,KNP
1993,"Tucker, PK; Lundrigan, BL; ","Rapid evolution of the sex determining locus in old world mice and rats: Nature 364, 715–717",Trends in Genetics,9,11,378,Elsevier,10.1038/364715a0,,,Yes,No,NA,NA,KNP
1993,"Tucker, Priscilla K; Lundrigan, Barbara; ",[37] comparative studies of mammalian Y chromosome,Methods in enzymology,224,,517-525,Academic Press,10.1016/0076-6879(93)24038-V,,,Yes,No,NA,NA,KNP
1993,"Voss, Robert S; ","A revision of the Brazilian muroid rodent genus Delomys: with remarks on"" thomasomyine"" characters. American Museum novitates; no. 3073",,,,,"New York, NY: American Museum of Natural History",,,,Yes,No,NA,NA,KNP
1993,"Voss, Robert S; Carleton, Michael D; ","A new genus for Hesperomys molitor Winge and Holochilus magnus Hershkovitz (Mammalia, Muridae) with an analysis of its phylogenetic relationships",,,,,,,,,Yes,No,NA,NA,KNP
1993,"Wilson, DE; Reeder, DM; ",Order Rotentia,"Mammals species of the world. Smithsonian Institution Press, Washington and London",,,417-807,,,,Not found,No,No,NA,NA,ERC
1992,"Burt, William Henry; Grossenheider, Richard Philip; ",Les mammifères de l'Amérique du Nord (au nord du Mexique),,,,,Éditions Broquet,,,Citation only,No,No,NA,NA,ERC
1992,"Ingle, Nina R; Heaney, Lawrence R; ",A key to the bats of the Philippine Islands,Publication (USA),,,,Field Museum of Natural History,,,Citation only,No,No,NA,NA,ERC
1992,"Klompen, JSH; ",Phylogenetic relationships in the mite family Sarcoptidae (Acari: Astigmata).,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1992,"Musser, Guy G; ","Philippine rodents: Definitions of Tarsomys and Lymnomys plus a preliminary assessment of phylogenetic patterns among native philppine murines (Murinae, Muridae)",Bulletin of the American Museum of Natural History,211,,1-138,,,,Citation only,No,No,NA,NA,ERC
1992,"Nachman, MW; ","Geographic patterns of chromosomal variation in South American marsh rats, Holochilus brasiliensis and H. vulpinus",Cytogenetic and Genome Research,61,1,10-16,Karger Publishers,10.1159/000133361,,,Yes,No,NA,NA,ERC
1992,"Tucker, Priscilla K; Lee, Barbara K; Lundrigan, Barbara L; Eicher, Eva M; ",Geographic origin of the Y chromosomes in “old” inbred strains of mice,Mammalian genome,3,5,254-261,Springer-Verlag,10.1007/BF00292153,,,Yes,No,NA,NA,ERC
1992,"Tucker, Priscilla K; Phillips, Kimberly S; Lundrigan, Barbara; ",A mouse Y chromosome pseudogene is related to human ubiquitin activating enzyme E1,Mammalian Genome,3,1,28-35,Springer,10.1007/BF00355838,,,Yes,No,NA,NA,ERC
1992,"Tucker, Priscilla K; Sage, Richard D; Warner, John; Wilson, Allan C; Eicher, Eva M; ",Abrupt cline for sex chromosomes in a hybrid zone between two species of mice,Evolution,46,4,1146-1163,,10.1111/j.1558-5646.1992.tb00625.x,,,Yes,No,NA,NA,ERC
1992,"Voss, Robert S; ",A revision of the South American species of Sigmodon (Mammalia: Muridae) with notes on their natural history and biogeography,,,,,American Museum of Natural History,,,,Yes,No,NA,NA,ERC
1992,"Voss, Robert S; Heideman, Paul D; Mayer, Victoria L; Donnelly, Thomas M; ","Husbandry, reproduction and postnatal development of the neotropical muroid rodent Zygodontomys brevicauda",Laboratory animals,26,1,38-46,SAGE Publications,10.1258/002367792780808995,,,Yes,No,NA,NA,ERC
1992,"Voss, Robert S; Marcus, Leslie F; ","Morphological evolution in muroid rodents II. Craniometric factor divergence in seven Neotropical genera, with experimental results from Zygodontomys",Evolution,46,6,1918-1934,,10.1111/j.1558-5646.1992.tb01178.x,,,Yes,No,NA,NA,ERC
1992,"Woodman, Neal; Timm, Robert M; ","A new species of small-eared shrew, genus Cryptotis (Insectivora: Soricidae), from Honduras.",,,,,Proceedings of the Biological Society of Washington,,,,Yes,No,NA,NA,ERC
1992,"Zelditch, M. L.; Bookstein, F. L.; Lundrigan, B. L.; ",Ontogeny of integrated skull growth in the cotton rat Sigmodon fulviventer,Evolution,46,,1164-1180,,10.1111/j.1558-5646.1992.tb00626.x,,,Yes,No,NA,NA,ERC
